youtube_id,title,duration_sec,guessed_tournament_id,tournament_guess_label,year,kind,stage,leg,score,player_a_guess,player_a_id_guess,player_b_guess,player_b_id_guess,game_id_guess,source,source_channel,source_playlist,relation_group,relation,featured_final,confidence,verified,notes,external_url
id4h0U5UvQA,Kick Off 2 World Cup 2013 - Part 04 - ChrisD vs AndyG (5-1),670,569,World Cup XIII (Voitsberg),2013,stream,,,5-1,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
iq4NHKCZ70g,"Kick Off 2 Amiga, WC 2002 Athens, Quater Finals leg 1, Alkis P - Martin B (6 - 4)",684,66,World Cup II (Athens),2002,match,quarter,1,6 - 4,Alkis P,14,Martin B,291,1710,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.ko-gathering.com/media/tournaments/Athens2002/videos/Quarters1%20-%20Klaus%20vs%20Jim.WMV
jEIh5fOToEM,Kick Off 2 World Cup 2013 - Part 11 - AndyG vs AlkisP,717,569,World Cup XIII (Voitsberg),2013,stream,,,,,,,,,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,false,medium,,Also in: ko2cv_channel,
jQFCJskHR7k,Kick Off 2 WC2001 Dartford Part2a Saturday,478,26,World Cup I (Dartford),2001,stream,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
jW_cWLpzN74,Kick Off 2 World Cup 2024 - Silver Cup Final IlkerC vs SteveB,736,20,World Cup XXII (Nottingham),2024,match,final,,,Ilker C,179,Steve B,419,26856,ko2cv_channel,ko2cv,,,,false,low,,,
jpgjtT1ufto,"Kick Off 2 Amiga, WC 2008 Athens, Presentations",951,358,World Cup VIII (Athens),2008,ceremony,,,,,,,,,alkelele_channel,alkelele,,,,false,medium,,,
jw2FZ1ab4G4,"Kick Off 2 Amiga, Milan I 2003, Quarter Final leg 1, Nikos A - Gianni T (4 - 3)",670,89,Milan,2003,match,quarter,1,4 - 3,Nikos A,338,Gianni T,149,2399,forum_index,alkelele,,,,false,medium,Y,Also in: alkelele_channel,
k-olmsY16pE,"Kick Off 2 Amiga, shot height, part 10",9,,,,stream,,,,,,,,,alkelele_channel,alkelele,,,,false,low,,,
kGvwgX81CqA,Kick Off 2 World Cup 2013 - Part 01 - Opening Ceremony,553,569,World Cup XIII (Voitsberg),2013,ceremony,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
kOTZ1zFlqGo,How to play Amiga Kick Off 2 on your PC,107,,,,coverage,,,,,,,,,alkelele_channel,alkelele,,,,false,low,,,
kmMOfnSFj_A,Kick Off 2 World Cup 2022 Part3 Semi1A Fabio vs Gianni,712,14,World Cup XX (Athens),2022,stream,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
krkqtGxF47Y,"Kick Off 2 Amiga, WC 2004 Milano, The Final leg 1, Luigi F - Gianluca T (2 - 7)",700,140,World Cup IV (Milan),2004,match,final,1,2 - 7,Luigi F,261,Gianluca T,148,4904,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,true,high,,"Also in: alkelele_channel, forum_index",http://www.ko-gathering.com/media/tournaments/Milan2004/videos/WC2004_FinalA_Luigi_Gianluca.wmv
l9TEWoZoZnI,"Kick Off 2 Amiga, WC 2009 Voitsberg, Silver Cup Final, Tommaso R - Rodolfo M (1 - 4)",659,418,World Cup IX (Voitsberg),2009,match,silver,,1-4,Lorenzo C,253,Rodolfo M,389,16356,forum_index,alkelele,,,,false,medium,Y,Tommaso R = Lorenzo C (17th place silver final),
lMOUiLnRliE,KOA_WC2007_3_Semi1_Part2_Gianluca_vs_Gianni,664,,,,stream,,,,,,,,,ko2cv_channel,ko2cv,,,,false,low,,,
lV0Yk5k6njM,Kick Off 2 World Cup 2024 - 3rd Place AndyG vs BlazejU,661,20,World Cup XXII (Nottingham),2024,match,bronze,,,Andy G,30,Blazej U,46,26877,ko2cv_channel,ko2cv,,,,false,medium,,,
liHK9Hwyjm8,"Kick Off 2 Amiga, shot height, part 7",9,,,,stream,,,,,,,,,alkelele_channel,alkelele,,,,false,low,,,
mB36oHYr8mU,Spyros vs Gianni 3-4-2011,729,499,Athens LXXVIII,2011,match,,,6 - 11,Spyros P,410,Gianni T,149,18946,forum_index,costas,,,,false,medium,Y,Also in: costas_channel,
mDxXCqbxMR8,Kick Off 2 World Cup 2013 - Part 02 - Battle of Shame (2v2),372,569,World Cup XIII (Voitsberg),2013,stream,shame,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
mVwaFBudzl0,10 - Kick Off 2 World Cup 2012 Presentations Part1,185,554,World Cup XII (Milan),2012,ceremony,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
